noise_floor_nN,chi_eff_upper_bound
1.000000000000000000e+00,2.999999999999999829e-18
1.031389768378721650e+00,3.094169305136164995e-18
1.063764854316312958e+00,3.191294562948938290e-18
1.097156186702726854e+00,3.291468560108180486e-18
1.131595665278606999e+00,3.394786995835820549e-18
1.167116191110067813e+00,3.501348573330203465e-18
1.203751698020068650e+00,3.611255094060205793e-18
1.241537185006411637e+00,3.724611555019234772e-18
1.280508749677332858e+00,3.841526249031998938e-18
1.320703622736630889e+00,3.962110868209892640e-18
1.362160203551272319e+00,4.086480610653816602e-18
1.404918096835459096e+00,4.214754290506377854e-18
1.449018150486198753e+00,4.347054451458596318e-18
1.494502494606524179e+00,4.483507483819572537e-18
1.541414581753644653e+00,4.624243745260932976e-18
1.589799228450475610e+00,4.769397685351426867e-18
1.639702658000206537e+00,4.919107974000619274e-18
1.691172544644807152e+00,5.073517633934421435e-18
1.744258059109661030e+00,5.232774177328983488e-18
1.799009915577832075e+00,5.397029746733496065e-18
1.855480420138843733e+00,5.566441260416531720e-18
1.913723520758255026e+00,5.741170562274764946e-18
1.973794858815768771e+00,5.921384576447306035e-18
2.035751822261107069e+00,6.107255466783321394e-18
2.099653600438443846e+00,6.298960801315330675e-18
2.165561240631755702e+00,6.496683721895267270e-18
2.233537706385123833e+00,6.700613119155371485e-18
2.303647937653693578e+00,6.910943812961080953e-18
2.375958912842762949e+00,7.127876738528288243e-18
2.450539712794256975e+00,7.351619138382770597e-18
2.527461586781727387e+00,7.582384760345181932e-18
2.606798020576922781e+00,7.820394061730768089e-18
2.688624806652942123e+00,8.065874419958824995e-18
2.773020116591063289e+00,8.319060349773191008e-18
2.860064575760393080e+00,8.580193727281178371e-18
2.949841340341698537e+00,8.849524021025096415e-18
3.042436176769002021e+00,9.127308530307007193e-18
3.137937543664824247e+00,9.413812630994470947e-18
3.236436676347358432e+00,9.709310029042073839e-18
3.338027673990301647e+00,1.001408302197090591e-17
3.442807589518619871e+00,1.032842276855585944e-17
3.550876522326114504e+00,1.065262956697834463e-17
3.662337713903371927e+00,1.098701314171011634e-17
3.777297646467455472e+00,1.133189293940236700e-17
3.895866144687560428e+00,1.168759843406268152e-17
4.018156480603805925e+00,1.205446944181141823e-17
4.144285481839419027e+00,1.243285644551825524e-17
4.274373643209656848e+00,1.282312092962896935e-17
4.408545241834120887e+00,1.322563572550236430e-17
4.546928455862408569e+00,1.364078536758722494e-17
4.689655486926548988e+00,1.406896646077964752e-17
4.836862686437174652e+00,1.451058805931152417e-17
4.988690685844118455e+00,1.496607205753235367e-17
5.145284530985851923e+00,1.543585359295755409e-17
5.306793820656117155e+00,1.592038146196834960e-17
5.473372849520143468e+00,1.642011854856043035e-17
5.645180755516965299e+00,1.693554226655089375e-17
5.822381671888660293e+00,1.746714501566597914e-17
6.005144883981759385e+00,1.801543465194527824e-17
6.193644990970611275e+00,1.858093497291183165e-17
6.388062072657207935e+00,1.916418621797162271e-17
6.588581861506814796e+00,1.976574558452044445e-17
6.795395920083762142e+00,2.038618776025128561e-17
7.008701824056901231e+00,2.102610547217070266e-17
7.228703350949571060e+00,2.168611005284871198e-17
7.455610674814367123e+00,2.236683202444310172e-17
7.689640567018714457e+00,2.306892170105614391e-17
7.931016603333056025e+00,2.379304980999916850e-17
8.179969377519475060e+00,2.453990813255842606e-17
8.436736721624846780e+00,2.531021016487454006e-17
8.701563933188905864e+00,2.610469179956672069e-17
8.974704009584344888e+00,2.692411202875303418e-17
9.256417889712780678e+00,2.776925366913834107e-17
9.546974703287522956e+00,2.864092410986256335e-17
9.846652027941232177e+00,2.953995608382369869e-17
1.015573615440417576e+01,3.046720846321252905e-17
1.047452236000633619e+01,3.142356708001900768e-17
1.080331519076467650e+01,3.240994557229403036e-17
1.114242875232510421e+01,3.342728625697531483e-17
1.149218701003699827e+01,3.447656103011099267e-17
1.185292409844701211e+01,3.555877229534103078e-17
1.222498464050783262e+01,3.667495392152349494e-17
1.260872407680680141e+01,3.782617223042040136e-17
1.300450900512897867e+01,3.901352701538693570e-17
1.341271753067897698e+01,4.023815259203692708e-17
1.383373962729620743e+01,4.150121888188862439e-17
1.426797751000857950e+01,4.280393253002574189e-17
1.471584601928055669e+01,4.414753805784166991e-17
1.517777301732271411e+01,4.553331905196814364e-17
1.565419979684128649e+01,4.696259939052385520e-17
1.614558150261836644e+01,4.843674450785508974e-17
1.665238756632532713e+01,4.995716269897598392e-17
1.717510215498498383e+01,5.152530646495494856e-17
1.771422463351084531e+01,5.314267390053253803e-17
1.827027004176539293e+01,5.481081012529617589e-17
1.884376958659310475e+01,5.653130875977931349e-17
1.943527114929826283e+01,5.830581344789478985e-17
2.004533980905238622e+01,6.013601942715715723e-17
2.067455838273130908e+01,6.202367514819392958e-17
2.132352798169761243e+01,6.397058394509283358e-17
2.199286858606028972e+01,6.597860575818086608e-17
2.268321963696038779e+01,6.804965891088115947e-17
2.339524064744824372e+01,7.018572194234472885e-17
2.412961183253609576e+01,7.238883549760828617e-17
2.488703475902786622e+01,7.466110427708360173e-17
2.566823301574694227e+01,7.700469904724082774e-17
2.647395290480229590e+01,7.942185871440688179e-17
2.730496415455322179e+01,8.191489246365965856e-17
2.816206065495394739e+01,8.448618196486184798e-17
2.904606121598046187e+01,8.713818364794138276e-17
2.995781034986425695e+01,8.987343104959277619e-17
3.089817907788018303e+01,9.269453723364054091e-17
3.186806576245910350e+01,9.560419728737729616e-17
3.286839696542056544e+01,9.860519089626169668e-17
3.390012833314498408e+01,1.017003849994349519e-16
3.496424550953135224e+01,1.048927365285940703e-16
3.606176507761229999e+01,1.081852952328369040e-16
3.719373553072641414e+01,1.115812065921792255e-16
3.836123827417534926e+01,1.150837148225260524e-16
3.956538865832266083e+01,1.186961659749679703e-16
4.080733704412151042e+01,1.224220111323645275e-16
4.208826990208891061e+01,1.262648097062667312e-16
4.340941094577659953e+01,1.302282328373297872e-16
4.477202230082129830e+01,1.343160669024638962e-16
4.617740571069104050e+01,1.385322171320731044e-16
4.762690378027988913e+01,1.428807113408396620e-16
4.912190125853853573e+01,1.473657037756155964e-16
5.066382636136648898e+01,1.519914790840994411e-16
5.225415213602956044e+01,1.567624564080886708e-16
5.389439786840600277e+01,1.616831936052180045e-16
5.558613053440593887e+01,1.667583916032178106e-16
5.733096629695032931e+01,1.719928988908509726e-16
5.913057204993989302e+01,1.773917161498196899e-16
6.098666701068881935e+01,1.829600010320664452e-16
6.290102436234460015e+01,1.887030730870337551e-16
6.487547294786291729e+01,1.946264188435887303e-16
6.691189901715635813e+01,2.007356970514690667e-16
6.901224802908529909e+01,2.070367440872559119e-16
7.117852651001318520e+01,2.135355795300395886e-16
7.341280397070119079e+01,2.202384119121035503e-16
7.571721488337399819e+01,2.271516446501219982e-16
7.809396072084500418e+01,2.342818821625350067e-16
8.054531205964930507e+01,2.416359361789478997e-16
8.307361074919354849e+01,2.492208322475806651e-16
8.568127214899482169e+01,2.570438164469844203e-16
8.837078743614597443e+01,2.651123623084379495e-16
9.114472598521189184e+01,2.734341779556356805e-16
9.400573782282974378e+01,2.820172134684892214e-16
9.695655615935919514e+01,2.908696684780776163e-16
1.000000000000000000e+02,2.999999999999999937e-16
