power_W,chi_eff_upper_bound
1.000000000000000000e+01,2.999999999999999937e-16
1.070351758793969843e+01,2.802816901408450326e-16
1.140703517587939686e+01,2.629955947136563481e-16
1.211055276381909529e+01,2.477178423236514305e-16
1.281407035175879372e+01,2.341176470588234996e-16
1.351758793969849215e+01,2.219330855018587148e-16
1.422110552763819058e+01,2.109540636042402371e-16
1.492462311557789079e+01,2.010101010101009576e-16
1.562814070351758744e+01,1.919614147909967847e-16
1.633165829145728765e+01,1.836923076923076355e-16
1.703517587939698430e+01,1.761061946902654612e-16
1.773869346733668451e+01,1.691218130311614394e-16
1.844221105527638116e+01,1.626702997275204016e-16
1.914572864321608137e+01,1.566929133858267325e-16
1.984924623115578157e+01,1.511392405063290806e-16
2.055276381909547823e+01,1.459657701711490983e-16
2.125628140703517488e+01,1.411347517730496332e-16
2.195979899497487509e+01,1.366132723112128085e-16
2.266331658291457529e+01,1.323725055432372412e-16
2.336683417085427195e+01,1.283870967741935424e-16
2.407035175879396860e+01,1.246346555323590751e-16
2.477386934673366881e+01,1.210953346855983644e-16
2.547738693467336901e+01,1.177514792899407971e-16
2.618090452261306567e+01,1.145873320537427825e-16
2.688442211055276587e+01,1.115887850467289663e-16
2.758793969849246253e+01,1.087431693989070847e-16
2.829145728643216273e+01,1.060390763765541566e-16
2.899497487437185939e+01,1.034662045060658508e-16
2.969849246231155959e+01,1.010152284263959164e-16
3.040201005025125625e+01,9.867768595041321484e-17
3.110552763819095645e+01,9.644588045234246629e-17
3.180904522613065311e+01,9.431279620853079022e-17
3.251256281407034976e+01,9.227202472952085665e-17
3.321608040201004997e+01,9.031770045385778643e-17
3.391959798994975017e+01,8.844444444444443810e-17
3.462311557788945038e+01,8.664731494920172417e-17
3.532663316582915058e+01,8.492176386913226802e-17
3.603015075376885079e+01,8.326359832635980444e-17
3.673366834170854389e+01,8.166894664842680590e-17
3.743718592964824410e+01,8.013422818791944518e-17
3.814070351758793720e+01,7.865612648221343480e-17
3.884422110552763741e+01,7.723156532988356211e-17
3.954773869346733761e+01,7.585768742058448403e-17
4.025125628140703782e+01,7.453183520599248976e-17
4.095477386934673802e+01,7.325153374233127561e-17
4.165829145728643823e+01,7.201447527141132287e-17
4.236180904522613133e+01,7.081850533807828033e-17
4.306532663316583154e+01,6.966161026837804854e-17
4.376884422110553174e+01,6.854190585533868469e-17
4.447236180904523195e+01,6.745762711864404061e-17
4.517587939698492505e+01,6.640711902113457898e-17
4.587939698492462526e+01,6.538882803943043585e-17
4.658291457286432546e+01,6.440129449838186128e-17
4.728643216080402567e+01,6.344314558979807023e-17
4.798994974874371877e+01,6.251308900523559103e-17
4.869346733668341898e+01,6.160990712074302426e-17
4.939698492462311918e+01,6.073245167853508404e-17
5.010050251256281939e+01,5.987963891675023384e-17
5.080402010050251249e+01,5.905044510385755577e-17
5.150753768844221270e+01,5.824390243902437825e-17
5.221105527638191290e+01,5.745909528392684522e-17
5.291457286432161311e+01,5.669515669515667276e-17
5.361809045226130621e+01,5.595126522961573656e-17
5.432160804020100642e+01,5.522664199814985887e-17
5.502512562814070662e+01,5.452054794520546896e-17
5.572864321608040683e+01,5.383228133453561037e-17
5.643216080402010704e+01,5.316117542297415974e-17
5.713567839195980014e+01,5.250659630606859528e-17
5.783919597989950034e+01,5.186794092093830899e-17
5.854271356783920055e+01,5.124463519313303663e-17
5.924623115577890076e+01,5.063613231552161254e-17
5.994974874371859386e+01,5.004191114836546261e-17
6.065326633165829406e+01,4.946147473073735507e-17
6.135678391959799427e+01,4.889434889434887841e-17
6.206030150753769448e+01,4.834008097165990603e-17
6.276381909547738758e+01,4.779823859087268955e-17
6.346733668341708778e+01,4.726840855106887056e-17
6.417085427135678799e+01,4.675019577133906924e-17
6.487437185929648820e+01,4.624322230828813815e-17
6.557788944723617419e+01,4.574712643678160145e-17
6.628140703517587440e+01,4.526156178923426921e-17
6.698492462311557460e+01,4.478619654913727290e-17
6.768844221105527481e+01,4.432071269487749815e-17
6.839195979899497502e+01,4.386480529022776652e-17
6.909547738693467522e+01,4.341818181818180566e-17
6.979899497487437543e+01,4.298056155507558158e-17
7.050251256281407564e+01,4.255167498218102779e-17
7.120603015075377584e+01,4.213126323218065210e-17
7.190954773869347605e+01,4.171907756813415938e-17
7.261306532663317626e+01,4.131487889273355512e-17
7.331658291457287646e+01,4.091843728581218983e-17
7.402010050251256246e+01,4.052953156822810433e-17
7.472361809045226266e+01,4.014794889038331631e-17
7.542713567839196287e+01,3.977348434377080712e-17
7.613065326633166308e+01,3.940594059405940196e-17
7.683417085427136328e+01,3.904512753433615390e-17
7.753768844221106349e+01,3.869086195722617562e-17
7.824120603015076370e+01,3.834296724470133325e-17
7.894472361809046390e+01,3.800127307447484568e-17
7.964824120603014990e+01,3.766561514195583237e-17
8.035175879396985010e+01,3.733583489681050204e-17
8.105527638190955031e+01,3.701177929324240302e-17
8.175879396984925052e+01,3.669330055316532926e-17
8.246231155778895072e+01,3.638025594149907713e-17
8.316582914572865093e+01,3.607250755287008483e-17
8.386934673366835113e+01,3.576992210904732238e-17
8.457286432160805134e+01,3.547237076648840791e-17
8.527638190954773734e+01,3.517972893341190335e-17
8.597989949748743754e+01,3.489187609585037879e-17
8.668341708542713775e+01,3.460869565217390761e-17
8.738693467336683796e+01,3.433007475560666403e-17
8.809045226130653816e+01,3.405590416428978251e-17
8.879396984924623837e+01,3.378607809847198224e-17
8.949748743718593857e+01,3.352049410443570783e-17
9.020100502512563878e+01,3.325905292479107858e-17
9.090452261306533899e+01,3.300165837479269205e-17
9.160804020100502498e+01,3.274821722435545472e-17
9.231155778894472519e+01,3.249863908546542620e-17
9.301507537688442540e+01,3.225283630470015858e-17
9.371859296482412560e+01,3.201072386058980691e-17
9.442211055276382581e+01,3.177221926556678461e-17
9.512562814070352601e+01,3.153724247226623948e-17
9.582914572864322622e+01,3.130571578395384386e-17
9.653266331658292643e+01,3.107756376887037152e-17
9.723618090452261242e+01,3.085271317829456441e-17
9.793969849246231263e+01,3.063109286813750148e-17
9.864321608040201284e+01,3.041263372389199925e-17
9.934673366834171304e+01,3.019726858877085923e-17
1.000502512562814132e+02,2.998493219487693587e-17
1.007537688442211135e+02,2.977556109725684857e-17
1.014572864321608137e+02,2.956909361069836423e-17
1.021608040201005139e+02,2.936546974913919289e-17
1.028643216080402141e+02,2.916463116756227914e-17
1.035678391959799001e+02,2.896652110625909367e-17
1.042713567839196003e+02,2.877108433734939375e-17
1.049748743718593005e+02,2.857826711345140605e-17
1.056783919597990007e+02,2.838801711840227763e-17
1.063819095477387009e+02,2.820028341993386644e-17
1.070854271356784011e+02,2.801501642421397841e-17
1.077889447236181013e+02,2.783216783216782319e-17
1.084924623115578015e+02,2.765169059749883351e-17
1.091959798994974875e+02,2.747353888633225453e-17
1.098994974874371877e+02,2.729766803840877715e-17
1.106030150753768879e+02,2.712403452975919601e-17
1.113065326633165881e+02,2.695259593679457667e-17
1.120100502512562883e+02,2.678331090174965827e-17
1.127135678391959885e+02,2.661613909942041019e-17
1.134170854271356887e+02,2.645104120513956106e-17
1.141206030150753890e+02,2.628797886393658708e-17
1.148241206030150892e+02,2.612691466083150290e-17
1.155276381909547752e+02,2.596781209221400196e-17
1.162311557788944754e+02,2.581063553826199184e-17
1.169346733668341756e+02,2.565535023635581698e-17
1.176381909547738758e+02,2.550192225544638677e-17
1.183417085427135760e+02,2.535031847133757492e-17
1.190452261306532762e+02,2.520050654284507414e-17
1.197487437185929764e+02,2.505245488879562806e-17
1.204522613065326766e+02,2.490613266583228168e-17
1.211557788944723626e+02,2.476150974699294369e-17
1.218592964824120628e+02,2.461855670103092779e-17
1.225628140703517630e+02,2.447724477244771840e-17
1.232663316582914632e+02,2.433754586220953395e-17
1.239698492462311634e+02,2.419943250912038568e-17
1.246733668341708636e+02,2.406287787182586780e-17
1.253768844221105638e+02,2.392785571142284209e-17
1.260804020100502640e+02,2.379434037465124945e-17
1.267839195979899642e+02,2.366230677764565529e-17
1.274874371859296502e+02,2.353173039022467163e-17
1.281909547738693504e+02,2.340258722069776115e-17
1.288944723618090507e+02,2.327485380116958427e-17
1.295979899497487509e+02,2.314850717332299085e-17
1.303015075376884511e+02,2.302352487466254935e-17
1.310050251256281513e+02,2.289988492520137585e-17
1.317085427135678515e+02,2.277756581457458273e-17
1.324120603015075517e+02,2.265654648956356050e-17
1.331155778894472519e+02,2.253680634201585192e-17
1.338190954773869521e+02,2.241832519714607048e-17
1.345226130653266523e+02,2.230108330220395047e-17
1.352261306532663525e+02,2.218506131549609028e-17
1.359296482412060527e+02,2.207024029574860369e-17
1.366331658291457529e+02,2.195660169179844894e-17
1.373366834170854531e+02,2.184412733260152846e-17
1.380402010050251249e+02,2.173279941754641072e-17
1.387437185929648251e+02,2.162260050706265452e-17
1.394472361809045253e+02,2.151351351351351155e-17
1.401507537688442255e+02,2.140552169236285057e-17
1.408542713567839257e+02,2.129860863360684291e-17
1.415577889447236259e+02,2.119275825346112508e-17
1.422613065326633262e+02,2.108795478629459424e-17
1.429648241206030264e+02,2.098418277680139976e-17
1.436683417085427266e+02,2.088142707240293076e-17
1.443718592964824268e+02,2.077967281587190500e-17
1.450753768844221270e+02,2.067890543817110814e-17
1.457788944723618272e+02,2.057911065149947693e-17
1.464824120603015274e+02,2.048027444253858711e-17
1.471859296482412276e+02,2.038238306589279114e-17
1.478894472361809278e+02,2.028542303771660879e-17
1.485929648241205996e+02,2.018938112952316433e-17
1.492964824120602998e+02,2.009424436216761529e-17
1.500000000000000000e+02,1.999999999999999835e-17
