true_class,EHD_plasma,lorentz_RF_cable,mechanical_vibration,mixed_artifact,null,residual_candidate,thermal
EHD_plasma,0.979,0.0,0.0,0.017,0.004,0.0,0.0
lorentz_RF_cable,0.0,0.993,0.001,0.006,0.0,0.0,0.0
mechanical_vibration,0.0,0.006,0.901,0.044,0.048,0.0,0.001
mixed_artifact,0.046,0.018,0.099,0.812,0.008,0.0,0.017
null,0.012,0.0,0.014,0.009,0.965,0.0,0.0
residual_candidate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
thermal,0.0,0.0,0.0,0.003,0.0,0.0,0.997
